CustomerID,Cluster
C0001,1
C0002,8
C0003,1
C0004,0
C0005,3
C0006,5
C0007,3
C0008,1
C0009,4
C0010,2
C0011,2
C0012,1
C0013,0
C0014,3
C0015,2
C0016,5
C0017,2
C0018,2
C0019,8
C0020,6
C0021,8
C0022,8
C0023,0
C0024,5
C0025,1
C0026,1
C0027,8
C0028,3
C0029,5
C0030,5
C0031,1
C0032,5
C0033,6
C0034,0
C0035,7
C0036,2
C0037,1
C0038,1
C0039,7
C0040,8
C0041,2
C0042,6
C0043,4
C0044,4
C0045,3
C0046,2
C0047,5
C0048,7
C0049,2
C0050,1
C0051,7
C0052,6
C0053,8
C0054,3
C0055,7
C0056,8
C0057,8
C0058,5
C0059,1
C0060,6
C0061,8
C0062,4
C0063,4
C0064,2
C0065,1
C0066,7
C0067,0
C0068,1
C0069,7
C0070,4
C0071,5
C0072,7
C0073,8
C0074,8
C0075,0
C0076,1
C0077,6
C0078,4
C0079,1
C0080,3
C0081,8
C0082,0
C0083,5
C0084,3
C0085,2
C0086,7
C0087,5
C0088,8
C0089,6
C0090,8
C0091,1
C0092,8
C0093,4
C0094,2
C0095,6
C0096,7
C0097,3
C0098,2
C0099,5
C0100,1
C0101,8
C0102,6
C0103,8
C0104,1
C0105,7
C0106,4
C0107,5
C0108,2
C0109,0
C0110,3
C0111,2
C0112,6
C0113,6
C0114,7
C0115,3
C0116,2
C0117,2
C0118,5
C0119,7
C0120,1
C0121,8
C0122,5
C0123,4
C0124,7
C0125,2
C0126,5
C0127,3
C0128,3
C0129,5
C0130,6
C0131,2
C0132,4
C0133,5
C0134,8
C0135,8
C0136,3
C0137,5
C0138,3
C0139,5
C0140,3
C0141,0
C0142,4
C0143,4
C0144,2
C0145,4
C0146,3
C0147,5
C0148,1
C0149,8
C0150,6
C0151,6
C0152,6
C0153,5
C0154,7
C0155,0
C0156,0
C0157,1
C0158,1
C0159,3
C0160,1
C0161,8
C0162,3
C0163,6
C0164,3
C0165,0
C0166,1
C0167,4
C0168,2
C0169,0
C0170,7
C0171,2
C0172,7
C0173,8
C0174,2
C0175,0
C0176,6
C0177,4
C0178,7
C0179,7
C0181,7
C0182,7
C0183,5
C0184,6
C0185,2
C0186,3
C0187,2
C0188,6
C0189,1
C0190,1
C0191,5
C0192,7
C0193,8
C0194,5
C0195,1
C0196,6
C0197,3
C0198,4
C0199,7
C0200,8
