cust_id,lookalikes
C0001,"[('C0025', 0.9989807333203982), ('C0049', 0.996555713012215), ('C0131', 0.9950860057650811)]"
C0002,"[('C0084', 0.9908169996062061), ('C0088', 0.9843311729290349), ('C0114', 0.9780015948716032)]"
C0003,"[('C0068', 0.9705156201582493), ('C0031', 0.9235778959305316), ('C0153', 0.9199046545537525)]"
C0004,"[('C0103', 0.9828086300619869), ('C0022', 0.9730187936819077), ('C0039', 0.9631926309945725)]"
C0005,"[('C0035', 0.9897669906716164), ('C0097', 0.9895955845031447), ('C0101', 0.9871468258447945)]"
C0006,"[('C0155', 0.9966234640249212), ('C0118', 0.9960272342931153), ('C0149', 0.9925452256787418)]"
C0007,"[('C0092', 0.9996611756515252), ('C0028', 0.9995953804708452), ('C0040', 0.9994127360290116)]"
C0008,"[('C0104', 0.9558638644202102), ('C0079', 0.9120941713273847), ('C0099', 0.9081926933582176)]"
C0009,"[('C0078', 0.999397709680819), ('C0151', 0.9989466647899732), ('C0177', 0.9984756169669493)]"
C0010,"[('C0057', 0.9956554905665435), ('C0119', 0.9930581618394244), ('C0011', 0.9890346265235396)]"
C0011,"[('C0171', 0.9987651545138597), ('C0117', 0.9941332732193184), ('C0046', 0.9906760273298499)]"
C0012,"[('C0195', 0.996757356826568), ('C0065', 0.9960643985738031), ('C0096', 0.9920920554000715)]"
C0013,"[('C0190', 0.9952766520481143), ('C0082', 0.9948178023757477), ('C0148', 0.9925767538852628)]"
C0014,"[('C0007', 0.9991413023288817), ('C0028', 0.9989480483621733), ('C0092', 0.9988375025998654)]"
C0015,"[('C0018', 0.999511737232955), ('C0116', 0.9987218992066392), ('C0049', 0.9986555704818064)]"
C0016,"[('C0149', 0.9947072771768231), ('C0157', 0.9943628439786671), ('C0155', 0.992793848774463)]"
C0017,"[('C0105', 0.9822023021078266), ('C0027', 0.9737543439110183), ('C0186', 0.968156889116601)]"
C0018,"[('C0015', 0.999511737232955), ('C0116', 0.9989371008817873), ('C0049', 0.9986566636923266)]"
C0019,"[('C0191', 0.9807666199256164), ('C0024', 0.9386521484824882), ('C0071', 0.9233991043805138)]"
C0020,"[('C0113', 0.9994955990833561), ('C0143', 0.9993131074341165), ('C0089', 0.9992955083169602)]"
